Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Mandailing,Mandailing Natal,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Mandailing,Mandailing Natal,8,UBIJALAR,Ton,2838.62,1552.1,1097.08,0.0,0.0,0.0
Mandailing,Mandailing Natal,9,UBIKAYU / KETELA POHON,Ton,3122.06,2362.21,2136.52,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,2,KACANG HIJAU,Ton,72.5,67.2,50.7,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,3,KACANG TANAH,Ton,344.29,353.45,263.91,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,4,KEDELAI,Ton,44.99,51.22,45.88,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,5,PADI,Ton,90857.69,87958.52,98843.26,91188.83,98207.86,0.0
Tapanuli,Tapanuli Selatan,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,8,UBIJALAR,Ton,2140.12,1776.12,2227.39,0.0,0.0,0.0
Tapanuli,Tapanuli Selatan,9,UBIKAYU / KETELA POHON,Ton,4725.06,4263.01,3384.09,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,2,KACANG HIJAU,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,3,KACANG TANAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,4,KEDELAI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,5,PADI,Ton,41930.98,52962.33,48181.74,48693.65,47940.19,0.0
Tapanuli,Tapanuli Tengah,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,8,UBIJALAR,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Tengah,9,UBIKAYU / KETELA POHON,Ton,619.96,423.81,516.8,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,2,KACANG HIJAU,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,3,KACANG TANAH,Ton,2391.26,2098.16,2635.3,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,4,KEDELAI,Ton,0.0,0.0,0.34,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,5,PADI,Ton,110246.52,122554.37,125645.14,126829.9,124068.5,0.0
Tapanuli,Tapanuli Utara,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,8,UBIJALAR,Ton,5429.86,5703.48,6558.86,0.0,0.0,0.0
Tapanuli,Tapanuli Utara,9,UBIKAYU / KETELA POHON,Ton,14969.18,15716.94,15612.36,0.0,0.0,0.0
Toba,Toba,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,2,KACANG HIJAU,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,3,KACANG TANAH,Ton,57.62,49.79,60.83,0.0,0.0,0.0
Toba,Toba,4,KEDELAI,Ton,578.09,0.0,0.0,0.0,0.0,0.0
Toba,Toba,5,PADI,Ton,106168.3,107239.08,102802.33,110901.56,96707.62,0.0
Toba,Toba,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Toba,Toba,8,UBIJALAR,Ton,356.94,78.53,116.19,0.0,0.0,0.0
